,Unnamed: 0,Application Number,Orig Funding Request,Cmtd Funding Request,Consulting Firm's Name,Consulting Firm's Email,Applicant Type,Applicant City,Applicant State,Orig Discount,Cmtd Discount,Service Type,Function,funding_gap
566229,566229,170064796,46299,46299,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
849425,849425,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Cabling,0
1681798,1681798,170069647,77220,42120,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,LOS ANGELES,CA,50 %,90 %,Internal Connections,Cabling,35100
933381,933381,170061576,28876,28876,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,Wap,0
1303105,1303105,170060899,7154,7154,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LANCASTER,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Racks,0
1146921,1146921,170050828,66448,62253,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,CHULA VISTA,CA,80 %,80 %,Internal Connections,Wap,4195
920530,920530,170061576,28876,28876,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wap,0
1158108,1158108,170075348,25291,25291,Csm Consulting Inc.,kfriends@csmcentral.com,School District,REDDING,CA,80 %,80 %,Internal Connections,"Antennas, Connectors, And Related Components",0
516020,516020,170052240,35501,31492,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LAWNDALE,CA,85 %,85 %,Internal Connections,Ups/Battery Backup,4009
292458,292458,170081400,5125,0,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84 %,84 %,Basic Maintenance Of Internal Connections,Wap,5125
862313,862313,170061576,11000,11000,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wireless Controller,0
727606,727606,170054974,43721,43721,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Switches,0
732391,732391,170054974,21238,21238,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Wap,0
717562,717562,170054974,80436,80436,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Wap,0
1557709,1557709,170065593,25585,0,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85 %,85 %,Internal Connections,Switches,25585
1410640,1410640,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Basic Maintenance Of Internal Connections,Switches,17007
445634,445634,170064063,14152,14152,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80 %,80 %,Internal Connections,Caching,0
843870,843870,170061576,802,802,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wap,0
1548044,1548044,170065593,11870,11870,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Wap,0
752061,752061,170049563,1768,1768,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GUADALUPE,CA,30 %,30 %,Internal Connections,Switches,0
1293482,1293482,170064914,15552,15552,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Switches,0
1229700,1229700,170064914,53149,53149,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85 %,85 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
1195809,1195809,170074621,7683,7683,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80 %,80 %,Internal Connections,"Antennas, Connectors, And Related Components",0
958794,958794,170061576,802,802,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
881184,881184,170061576,12375,12375,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,Wireless Controller,0
876024,876024,170061576,30251,30251,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wireless Controller,0
538457,538457,170058731,8100,8100,Csm Consulting Inc.,kfriends@csmcentral.com,School District,WINTERS,CA,80 %,80 %,Internal Connections,"Antennas, Connectors, And Related Components",0
229877,229877,170051028,330474,267233,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,76 %,77 %,Internet Access And/Or Telecommunications,Lit Fiber Service,63241
605771,605771,170048326,7922,7922,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,TULARE,CA,85 %,85 %,Internal Connections,Wireless Controller,0
1682586,1682586,170069647,77220,42120,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,LOS ANGELES,CA,50 %,90 %,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,35100
1718152,1718152,170059293,7917,6334,The Miller Institute For Learning With Technology,emiller@learningtech.org,School District,Westminster,CA,20 %,20 %,Internal Connections,Wap,1583
660411,660411,170047995,133944,133944,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALM SPRINGS,CA,85 %,85 %,Internal Connections,Switches,0
973107,973107,170061576,218,218,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,"Antennas, Connectors, And Related Components",0
1263288,1263288,170064914,34609,34609,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85 %,85 %,Internal Connections,Switches,0
363248,363248,170081465,4211,4211,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,LONG BEACH,CA,80 %,80 %,Internal Connections,Wap,0
1669412,1669412,170077049,36714,36714,Csm Consulting Inc.,kfriends@csmcentral.com,School District,HOLLISTER,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Switches,0
235945,235945,170051028,88200,88200,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,90 %,90 %,Internet Access And/Or Telecommunications,Dark Fiber,0
522683,522683,170054726,23933,23933,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ADELANTO,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Switches,0
787169,787169,170055879,36178,36178,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MODESTO,CA,85 %,85 %,Internal Connections,Cabling,0
1682646,1682646,170069647,0,4903,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,LOS ANGELES,CA,0 %,30 %,Internal Connections,Cabling,-4903
239164,239164,170081884,982,251,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Consortium,SAN BERNARDINO,CA,78 %,20 %,Internet Access And/Or Telecommunications,Cellular Voice,731
1631847,1631847,170073673,69048,69048,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,NOVATO,CA,50 %,50 %,Internal Connections,Switches,0
786345,786345,170055879,42407,42407,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MODESTO,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Wap,0
1348334,1348334,170066253,5380,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Basic Maintenance Of Internal Connections,Wap,5380
602838,602838,170048326,11322,0,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,TULARE,CA,85 %,85 %,Internal Connections,Cabling,11322
557207,557207,170064796,137570,137570,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80 %,80 %,Internal Connections,Ups/Battery Backup,0
566527,566527,170064796,14324,14324,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
404733,404733,170050105,311,311,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN LUIS OBISPO,CA,20 %,20 %,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
1007616,1007616,170061576,1532,1532,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,"Antennas, Connectors, And Related Components",0
1380489,1380489,170066253,17007,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Basic Maintenance Of Internal Connections,Switches,17007
1555870,1555870,170065593,18113,18113,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Cabling,0
336383,336383,170047188,204358,194700,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,90 %,90 %,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,9658
1704634,1704634,170061077,71094,71094,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SOLEDAD,CA,85 %,85 %,Internal Connections,Racks,0
342633,342633,170047188,39129,0,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,90 %,90 %,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,39129
632818,632818,170048326,157034,106856,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,TULARE,CA,85 %,85 %,Internal Connections,Cabling,50178
1315947,1315947,170060899,82613,82613,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LANCASTER,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Switches,0
571589,571589,170064796,23271,23271,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80 %,80 %,Internal Connections,Wap,0
462735,462735,170056018,29622,22892,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LOMPOC,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Switches,6730
1372028,1372028,170066253,29714,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",29714
1242152,1242152,170064914,31454,31454,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
1329743,1329743,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Basic Maintenance Of Internal Connections,Wap,17007
1655009,1655009,170055124,3051,2795,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PLACENTIA,CA,60 %,60 %,Internal Connections,Switches,256
1671081,1671081,170077049,45728,45728,Csm Consulting Inc.,kfriends@csmcentral.com,School District,HOLLISTER,CA,80 %,80 %,Internal Connections,Wap,0
1570812,1570812,170065593,4097,0,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85 %,85 %,Internal Connections,"Antennas, Connectors, And Related Components",4097
533858,533858,170057989,6545,6545,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MODESTO,CA,30 %,30 %,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
1096904,1096904,170063248,419,419,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GOLETA,CA,60 %,60 %,Managed Internal Broadband Services,Existing Equipment,0
458346,458346,170064063,17178,17178,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80 %,80 %,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
883586,883586,170061576,12375,12375,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Cabling,0
221194,221194,170051028,1469820,999515,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,93.5 %,93.5 %,Internet Access And/Or Telecommunications,Lit Fiber Service,470305
461782,461782,170056018,11849,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LOMPOC,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,11849
1065246,1065246,170064391,10809,10809,"Tech Ed Services, Inc",info@techedservices.com,School District,LOS ALAMITOS,CA,40 %,40 %,Internal Connections,Router,0
416071,416071,170064861,9792,7384,Mattison Enterprises,loy@surewest.net,School District,ROSEVILLE,CA,50 %,50 %,Basic Maintenance Of Internal Connections,Wap,2408
1475241,1475241,160015580,23472,23472,,,School District,REDWOOD CITY,CA,60 %,60 %,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
905776,905776,170061576,656,656,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,"Antennas, Connectors, And Related Components",0
1132409,1132409,170054955,5094,5094,Csm Consulting Inc.,kfriends@csmcentral.com,School District,JACKSON,CA,70 %,70 %,Internal Connections,"Antennas, Connectors, And Related Components",0
1562963,1562963,170065593,18351,18351,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85 %,85 %,Internal Connections,Switches,0
706753,706753,170054974,5683,5683,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85 %,85 %,Internal Connections,Racks,0
1675533,1675533,170069647,0,12976,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,LOS ANGELES,CA,0 %,30 %,Internal Connections,"Antennas, Connectors, And Related Components",-12976
714431,714431,170054974,17519,17519,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85 %,85 %,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
1544329,1544329,170065593,272,272,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
818488,818488,170058874,6990,6990,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALO ALTO,CA,40 %,40 %,Managed Internal Broadband Services,Existing Equipment,0
1624868,1624868,170079758,6463,0,E-Rate Central,whimsworth@e-ratecentral.com,School District,CERRITOS,CA,80 %,80 %,Internal Connections,Wap,6463
250529,250529,170080148,39759,37209,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,DOWNEY,CA,85 %,85 %,Internal Connections,Switches,2550
771472,771472,170051844,10003,10003,Csm Consulting Inc.,kfriends@csmcentral.com,School District,COSTA MESA,CA,60 %,60 %,Internal Connections,Wap,0
1340395,1340395,170066253,72300,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Internal Connections,Cabling,72300
217783,217783,170051028,48299,48934,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,76 %,77 %,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,-635
878147,878147,170061576,12375,12375,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,Wireless Controller,0
1451480,1451480,170074618,21424,15225,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wap,6199
767082,767082,170048705,2794,2794,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ANDERSON,CA,80 %,80 %,Internal Connections,Ups/Battery Backup,0
1418055,1418055,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",17007
1652200,1652200,170055124,1525,1525,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PLACENTIA,CA,60 %,60 %,Internal Connections,Wap,0
1399649,1399649,170066253,17007,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",17007
1555353,1555353,170065593,18113,18113,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
296867,296867,170081400,1764,1764,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84 %,84 %,Basic Maintenance Of Internal Connections,Caching,0
474111,474111,170055157,15941,15941,Csm Consulting Inc.,kfriends@csmcentral.com,School District,DOS PALOS,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Cabling,0
1552088,1552088,170065593,14620,0,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,14620
1259720,1259720,170064914,37740,37740,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85 %,85 %,Internal Connections,"Antennas, Connectors, And Related Components",0
458811,458811,170064063,17178,17178,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Router,0
484816,484816,170058998,11504,11504,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SOUTH PASADENA,CA,40 %,40 %,Internet Access And/Or Telecommunications,Other,0
808259,808259,170061969,2292,1580,Mattison Enterprises,loy@surewest.net,School District,FAIRFIELD,CA,80 %,80 %,Internal Connections,"Antennas, Connectors, And Related Components",712
966464,966464,170061576,729,729,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Cabling,0
321265,321265,170047188,10130,10130,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,40 %,40 %,Internet Access And/Or Telecommunications,Lit Fiber Service,0
1348769,1348769,170066253,5380,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Internal Connections,Ups/Battery Backup,5380
1287881,1287881,170064914,2575,2575,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85 %,85 %,Internal Connections,"Antennas, Connectors, And Related Components",0
1023278,1023278,170074924,23644,22741,Csm Consulting Inc.,kfriends@csmcentral.com,School District,HUNTINGTON BEACH,CA,50 %,50 %,Basic Maintenance Of Internal Connections,Wap,903
1131920,1131920,170054955,52863,52863,Csm Consulting Inc.,kfriends@csmcentral.com,School District,JACKSON,CA,70 %,70 %,Internal Connections,Firewall Service And Components,0
709877,709877,170054974,6437,6437,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Switches,0
1375905,1375905,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,17007
710745,710745,170054974,37717,37717,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85 %,85 %,Internal Connections,Racks,0
287995,287995,170081400,46293,46293,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84 %,84 %,Basic Maintenance Of Internal Connections,Wap,0
1577566,1577566,170052636,9094,9094,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,SAN JOSE,CA,85 %,85 %,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
255434,255434,170080148,24486,21936,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,DOWNEY,CA,85 %,85 %,Internal Connections,Wap,2550
281994,281994,170081400,36944,36830,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84 %,84 %,Internal Connections,Firewall Service And Components,114
373733,373733,170081465,4956,4956,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,LONG BEACH,CA,80 %,80 %,Internal Connections,Firewall Service And Components,0
743390,743390,170054974,12815,12815,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Wap,0
1715870,1715870,170057083,15648,0,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,DALY CITY,CA,80 %,80 %,Internal Connections,"Antennas, Connectors, And Related Components",15648
1712106,1712106,170061077,70051,70051,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SOLEDAD,CA,85 %,85 %,Internal Connections,Cabling,0
691571,691571,170047995,50319,50319,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALM SPRINGS,CA,85 %,85 %,Internal Connections,Switches,0
1495051,1495051,170076213,5023,5023,Csm Consulting Inc.,kfriends@csmcentral.com,School District,RIVERSIDE,CA,90 %,90 %,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
604290,604290,170048326,11322,0,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,TULARE,CA,85 %,85 %,Internal Connections,Racks,11322
977779,977779,170061576,656,656,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wap,0
1484813,1484813,170066634,509,0,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN MARCOS,CA,50 %,60 %,Basic Maintenance Of Internal Connections,Router,509
763466,763466,170052764,9895,7034,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,PINE VALLEY,CA,80 %,80 %,Internal Connections,Switches,2861
1112729,1112729,170058708,67792,67792,Csm Consulting Inc.,kfriends@csmcentral.com,School District,VICTORVILLE,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Wap,0
750294,750294,170049563,3264,3264,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GUADALUPE,CA,30 %,30 %,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
472707,472707,170055157,1955,1955,Csm Consulting Inc.,kfriends@csmcentral.com,School District,DOS PALOS,CA,85 %,85 %,Internal Connections,Wap,0
1204940,1204940,170074621,8012,6596,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Switches,1416
1697186,1697186,170056849,2924,1884,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,Los Angeles,CA,50 %,50 %,Internal Connections,Router,1040
1455762,1455762,170074618,2526,1691,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80 %,80 %,Internal Connections,Wap,835
1412437,1412437,170066253,17007,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Internal Connections,Wireless Controller,17007
895024,895024,170061576,19250,19250,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wap,0
1472301,1472301,170065450,4602,4602,Csm Consulting Inc.,kfriends@csmcentral.com,School District,WHITTIER,CA,60 %,60 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
502372,502372,170058608,93064,90638,Csm Consulting Inc.,kfriends@csmcentral.com,School District,W SACRAMENTO,CA,80 %,80 %,Managed Internal Broadband Services,Existing Equipment,2426
843273,843273,170061576,802,802,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,Wap,0
891288,891288,170061576,15125,15125,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,Wap,0
1277170,1277170,170064914,13012,13012,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85 %,85 %,Internal Connections,"Antennas, Connectors, And Related Components",0
1088347,1088347,170049302,38469,38469,E-Rate Online Llc,msagnella@erateportal.com,School District,MADERA,CA,85 %,85 %,Internal Connections,Cabling,0
842452,842452,170061576,291,291,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wap,0
713402,713402,170054974,99048,99048,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85 %,85 %,Internal Connections,"Antennas, Connectors, And Related Components",0
654834,654834,170061965,23849,23647,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ALTA LOMA,CA,60 %,60 %,Internal Connections,"Antennas, Connectors, And Related Components",202
247738,247738,170080148,33074,30524,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,DOWNEY,CA,85 %,85 %,Internal Connections,Router,2550
1429014,1429014,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Basic Maintenance Of Internal Connections,Cabling,17007
825293,825293,170058874,23398,23398,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALO ALTO,CA,40 %,40 %,Internal Connections,Wap,0
1164738,1164738,170075348,40469,40469,Csm Consulting Inc.,kfriends@csmcentral.com,School District,REDDING,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Switches,0
